IGN,Discord,Clan,Role,S-highest,S-clanrank,AT-highest,AT-clanrank,Donations,LastUpdate,LastUpdateBy,Created by,New Clan,SHighAverage,SH-rank,SHigh1,Total-rank,Discord status
Zekrom,[TT]Zekrom#0695,TT2,Member,3363,19,3363,19,1002,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,19,
_24_,XXIV#0354,TT3,Member,2532,46,2532,46,579,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,46,
Agostor,Crushly#5236,TT3,Member,2129,55,2129,55,98,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,55,
Auram,Hans#5738,TT3,Member,2242,51,2242,51,231,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,51,
DaddyBearsie,DaddyBearsie#2030,TT3,Member,-,79,2064,61,0,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,61,
DARK3LF,DARK3LF#0384,TT3,Member,2203,53,2203,53,161,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,53,
Denreaver,Denreaver#4569,TT3,Member,2528,47,2528,47,276,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,47,
Devilrage,Devilrage#7035,TT3,Member,2547,45,2547,45,343,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,45,
E-rektion,PlebeianPrince#2054,TT3,Member,2555,44,2587,44,0,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,44,
GewoonJasper__,JASPURR#5161,TT3,Leader,1923,70,1942,68,119,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,68,
Ieneld,KesseLL#5594,TT2,Member,3056,30,3056,32,896,"Jul 26, 2020 2:37 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,32,
Jayus Maximus,Jayus Maximus#8123,,Member,2543,43,2554,42,22,"Jul 26, 2020 2:04 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,42,
JESTER,jesterJWD#3110,,Member,2355,49,2450,48,50,"Jul 26, 2020 2:04 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,48,
Karma,Karma#2660,TT3,Member,2128,56,2128,56,262,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,56,
Lefterisho,lefterisho#3712,TT3,Member,2118,57,2118,57,595,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,57,
Loiz,Loiz#4377,TT3,Member,2478,48,2478,48,854,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,48,
Lonto,atalantus#6962,TT2,Member,2898,34,2898,34,550,"Aug 5, 2020 11:51 AM",Storing XitraQ,Jasper in 't Veld,,0,,,34,
O'Shovah,O'Shovah#9672,TT3,Member,2314,50,2314,50,220,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,50,
QualityKetchup,QualityKetchup#1558,TT3,Member,2155,54,2155,54,259,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,54,
Redic,Nerz#3239,TT2,Member,2613,42,2613,42,400,"Aug 5, 2020 11:51 AM",Storing XitraQ,Jasper in 't Veld,,0,,,42,
Shiver,Shiver#6003,TT2,Member,2790,36,2790,36,258,"Aug 5, 2020 11:51 AM",Storing XitraQ,Jasper in 't Veld,,0,,,36,
TLeeF,TLeeF#7873,TT3,Member,2205,52,2205,52,543,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,52,
Trafalgar,KingKRool#1664,,Member,2162,54,2162,55,480,"Jul 26, 2020 2:07 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,55,
Trojans,FailForImprove#0087,TT3,Member,2316,49,2331,49,272,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,49,
" Matthew",Icee#9596,TT4,Member,1685,77,1685,78,193,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,78,
aaaaaaaack,aaaaaaaack#5537,TT4,Member,1874,71,1874,72,87,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Storing XitraQ,,0,,,72,
anno090909,pacamaka#6188,TT4,Member,1942,67,1942,69,274,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,69,
Burizar,Actini#8253,TT4,Member,1953,66,1953,67,420,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,67,
chinxx,chinxx#0347,TT4,Member,1930,68,1930,70,258,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Storing XitraQ,,0,,,70,
DARK LORD,WAR HYDRA#8170,TT4,Member,2073,60,2073,60,475,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,60,
Gamer,Nald#4653,TT4,Member,2075,58,2075,58,109,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,58,
GerOsty,GerOsty#6306,TT4,Member,1832,73,1832,74,221,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Storing XitraQ,,0,,,74,
GewoonJasper_,JASPURR#5161,TT4,Co-Leader,1969,65,1978,66,213,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,66,
KosSaT,KosSaT#1449,TT4,Member,1760,75,1760,76,274,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,76,
OnlyRailgun,sn0_0by#9381,TT4,Member,2074,59,2074,59,269,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,59,
Razer,Danny30x#5206,TT4,Member,2052,62,2052,63,243,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,63,
Taciturnitus,Taciturnitus#4684,TT4,Member,1705,76,1705,77,176,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,77,
XitraQ,XitraQ#4396,TT4,Leader,1992,64,1992,65,447,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,65,
Pigeon,The_Pigeon05#2551,,Member,,,,32,,"Jul 11, 2020 4:33 PM",Jasper in 't Veld,Green foot5,,1227.5,35,2455,67,Certified Badass
Jan Sama,Jan sama#3907,,Elder,,,,4,,"Jul 11, 2020 4:32 PM",Jasper in 't Veld,Green foot5,,2008.5,4,4017,8,Certified Badass
RivCliff,Rivcliff#6492,,Member,,,,42,,"Jul 11, 2020 4:33 PM",Jasper in 't Veld,Green foot5,,1460,46,2920,88,Certified Badass
Vaiix,vaiix#0817,,Member,,,,20,,"Jul 11, 2020 4:35 PM",Jasper in 't Veld,Green foot5,,2037.5,11,4075,31,Certified Badass
YamYam,Azure愛#6969,TT4,Member,2031,63,2031,64,283,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Storing XitraQ,,0,,,64,
yarin3k,yarin3k#9672,TT4,Member,1930,69,1930,71,337,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,71,
adfda,,,,,,,,,"Jul 26, 2020 2:09 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,0,
Luka,Fearius#1695,TT4,Member,1862,72,1862,73,70,"Jul 26, 2020 2:31 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,73,
